,class,question,sub_class
0,DESC,How did serfdom develop in and then leave Russia ?,manner
1,ENTY,What films featured the character Popeye Doyle ?,cremat
2,DESC,How can I find a list of celebrities ' real names ?,manner
3,ENTY,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,animal
4,ABBR,What is the full form of .com ?,exp
5,HUM,What contemptible scoundrel stole the cork from my lunch ?,ind
6,HUM,What team did baseball 's St. Louis Browns become ?,gr
7,HUM,What is the oldest profession ?,title
8,DESC,What are liver enzymes ?,def
9,HUM,Name the scar-faced bounty hunter of The Old West .,ind
10,NUM,When was Ozzy Osbourne born ?,date
11,DESC,Why do heavier objects travel downhill faster ?,reason
12,HUM,Who was The Pride of the Yankees ?,ind
13,HUM,Who killed Gandhi ?,ind
14,ENTY,What is considered the costliest disaster the insurance industry has ever faced ?,event
15,LOC,What sprawling U.S. state boasts the most airports ?,state
16,DESC,What did the only repealed amendment to the U.S. Constitution deal with ?,desc
17,NUM,How many Jews were executed in concentration camps during WWII ?,count
18,DESC,What is `` Nine Inch Nails '' ?,def
19,DESC,What is an annotated bibliography ?,def
20,NUM,What is the date of Boxing Day ?,date
21,ENTY,What articles of clothing are tokens in Monopoly ?,other
22,HUM,Name 11 famous martyrs .,ind
23,DESC,What 's the Olympic motto ?,desc
24,DESC,What is the origin of the name ` Scarlett ' ?,desc
25,ENTY,What 's the second-most-used vowel in English ?,letter
26,HUM,Who was the inventor of silly putty ?,ind
27,LOC,What is the highest waterfall in the United States ?,other
28,ENTY,Name a golf course in Myrtle Beach .,other
29,LOC,Which two states enclose Chesapeake Bay ?,state
30,ABBR,What does the abbreviation AIDS stand for ?,exp
31,ENTY,What does a spermologer collect ?,other
32,NUM,How many points make up a perfect fivepin bowling score ?,count
33,HUM,Which company that manufactures video-game hardware sells the `` super system '' ?,gr
34,NUM,How many Community Chest cards are there in Monopoly ?,count
35,DESC,What do Mormons believe ?,desc
36,NUM,When did the neanderthal man live ?,date
37,ENTY,In what religion was Isis the nature goddess ?,religion
38,LOC,Where do the adventures of `` The Swiss Family Robinson '' take place ?,other
39,ENTY,What relative of the racoon is sometimes known as the cat-bear ?,animal
40,DESC,How can I register my website in Yahoo for free ?,manner
41,ENTY,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,other
42,NUM,How many people in the world speak French ?,count
43,NUM,How many inches over six feet is the Venus de Milo ?,count
44,DESC,How do they find or choose witnesses to an execution ?,manner
45,HUM,What 1920s cowboy star rode Tony the Wonder Horse ?,ind
46,ENTY,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,food
47,HUM,What ISPs exist in the Caribbean ?,gr
48,DESC,How do you ask a total stranger out on a date ?,manner
49,ENTY,What weapon is the mythological character Apollo most proficient with ?,other
50,LOC,What country do the Galapagos Islands belong to ?,country
51,DESC,What is ethology ?,def
52,HUM,Who was the prophet of the Muslim people ?,ind
53,DESC,Where did the term `` 86ed '' come from ?,desc
54,HUM,Who is Snoopy 's arch-enemy ?,ind
55,DESC,What is the nature of learning ?,def
56,ENTY,What 's the only color Johnny Cash wears on stage ?,color
57,ENTY,What 's the term for a young fox ?,termeq
58,LOC,What U.S. state lived under six flags ?,state
59,DESC,What is the Kashmir issue ?,def
60,LOC,Where is the Loop ?,other
61,DESC,What does `` extended definition '' mean and how would one write a paper on it ?,def
62,LOC,What country 's capital is Tirana ?,country
63,DESC,What is titanium ?,def
64,HUM,Who do Herb and Tootsie live next door to ?,ind
65,LOC,Which city has the oldest relationship as a sisterðcity with Los Angeles ?,city
66,DESC,What is a caldera ?,def
67,DESC,Why do people get calluses ?,reason
68,LOC,What are the names of the tourist attractions in Reims ?,other
69,DESC,What are Cushman and Wakefield known for ?,reason
70,LOC,What body of water does the Danube River flow into ?,other
71,HUM,Who is the founder of Scientology ?,ind
72,ENTY,What does the six-footed Musca domestica become when it enters a house ?,other
73,DESC,What is the history of skateboarding ?,desc
74,HUM,Who starred in Singing in the Rain and The Singing Nun ?,ind
75,DESC,How do I make fuel bricks from recycled newspaper ?,manner
76,HUM,What 19th-century painter died in the Marquesas Islands ?,ind
77,ENTY,The corpus callosum is in what part of the body ?,body
78,DESC,How do I log on to home page at Headquarters U.S. European Command ?,manner
79,LOC,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",country
80,ENTY,What is Nebraska 's most valuable resource ?,other
81,NUM,How many species of the Great White shark are there ?,count
82,DESC,What is the origin of head lice ?,desc
83,LOC,What is the nickname for the state of Mississippi ?,state
84,ENTY,What was the first domesticated bird ?,animal
85,NUM,How many villi are found in the small intestine ?,count
86,LOC,What country did King Wenceslas rule ?,country
87,ENTY,What is a fear of shadows ?,dismed
88,HUM,Who were the five Marx brothers ?,ind
89,NUM,In which year was New Zealand excluded from the ANZUS alliance ?,date
90,NUM,When did CNN begin broadcasting ?,date
91,DESC,What causes the body to shiver in cold temperatures ?,reason
92,DESC,What are bear and bull markets ?,def
93,ENTY,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,cremat
94,DESC,What is `` dew point '' ?,def
95,DESC,What is the meaning of Jesus ?,def
96,HUM,What company 's logo is a `` W '' in a circle ?,gr
97,DESC,What is the definition of a cascade ?,def
98,NUM,When did Rococo painting and architecture flourish ?,date
99,LOC,What country 's national passenger rail system is called Via ?,country
100,HUM,Who invented Make-up ?,ind
101,DESC,What is the origin of the word `` attic '' ?,desc
102,DESC,What did Delilah do to Samson 's hair ?,desc
103,ENTY,What kind of animals were in the Paleozoic era ?,animal
104,HUM,Which of the following was Rhodes Scholar ?,ind
105,HUM,Who comprised the now-defunct comic book team known as the Champions ?,ind
106,DESC,How do you make a paintball ?,manner
107,LOC,What U.S. state is Fort Knox in ?,state
108,ENTY,What is a female rabbit called ?,animal
109,LOC,Where is the highest point in Japan ?,mount
110,DESC,Where do chihuahuas come from ?,desc
111,LOC,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,other
112,LOC,What are the world 's four oceans ?,other
113,ENTY,What 's the only work by Michelangelo that bears his signature ?,cremat
114,ENTY,What is the largest snake in the world ?,animal
115,ENTY,In what medium is Stuart Hamblen considered to be the first singing cowboy ?,cremat
116,LOC,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,other
117,NUM,How much money does a back injury lawsuit get ?,money
118,ENTY,What 's the common name for acetylsalicylic acid ?,termeq
119,DESC,What does the Georgetown `` Hoya '' mean ?,def
120,LOC,Where can I find a list of `` classic '' books 5th and 6th graders should read ?,other
121,ENTY,Which two products use a tiger as their symbol ?,product
122,DESC,How is the election of a new Pope announced to the world ?,manner
123,NUM,How long does it take for your blood to make one complete trip through the body ?,period
124,DESC,How do chickens have baby chicks ?,manner
125,DESC,What is the historical relationship of Catholic Church and bingo ?,desc
126,DESC,How was the element calcium named ?,manner
127,HUM,What crooner joined The Andrews Sisters for Pistol Packin Mama ?,ind
128,HUM,What piano company claims its product is the `` Instrument of the immortals '' ?,gr
129,NUM,When did the Bounty mutiny take place ?,date
130,ENTY,What novel inspired the movie BladeRunner ?,cremat
131,DESC,What is a transistor ?,def
132,ENTY,What is a film starring Jude Law ?,cremat
