,Unnamed: 0,class,question,sub_class,pos,ner
0,0,DESC,Como é que a servidão se desenvolveu e mais tarde terminou na Rússia ?,manner,"['ADV', 'ADP', 'NOUN', 'PRON', 'NOUN', 'PRON', 'VERB', 'CCONJ', 'ADV', 'ADV', 'VERB', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', 'LOC', '']"
1,1,ENTY,Em que filmes entrou a personagem Popeye Doyle ?,cremat,"['ADP', 'PRON', 'PROPN', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'PER', 'PER', '']"
2,2,DESC,Como posso encontrar uma lista dos verdadeiros nomes das celebridades ?,manner,"['ADV', 'AUX', 'VERB', 'DET', 'NOUN', 'VERB', 'ADJ', 'SYM', 'VERB', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '']"
3,3,ENTY,Que pássaro assume um papel preponderante depois do Ano Chinês do Macaco ?,animal,"['SCONJ', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADV', 'ADP', 'PROPN', 'PROPN', 'ADV', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', 'LOC', 'LOC', 'LOC', 'LOC', '']"
4,4,ABBR,Qual é a forma completa de .com ?,exp,"['X', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'PUNCT', 'PUNCT']","['', '', '', '', '', '', '', '']"
5,5,HUM,Que “contemptible scoundrel stole the cork from my lunch” ?,ind,"['SCONJ', 'PROPN', 'VERB', 'NOUN', 'ADJ', 'PROPN', 'ADJ', 'VERB', 'ADP', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '']"
6,6,HUM,Em que equipa é que a St. Louis Browns basebol se tornou ?,gr,"['ADP', 'PRON', 'NOUN', 'ADP', 'NOUN', 'DET', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'NOUN', 'PRON', 'VERB', 'PUNCT']","['', '', '', '', '', '', 'LOC', '', 'PER', 'PER', '', '', '', '']"
7,7,HUM,Qual é a profissão mais antiga ?,title,"['ADV', 'VERB', 'DET', 'NOUN', 'ADV', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '']"
8,8,DESC,Quais são as enzimas do fígado ?,def,"['SCONJ', 'VERB', 'DET', 'NOUN', 'ADV', 'VERB', 'PUNCT']","['', '', '', '', '', '', '']"
9,9,HUM,Diga o nome do caçador de recompensas do velho oeste que tinha uma cicatriz na cara.,ind,"['VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
10,10,NUM,Quando é que nasceu Ozzy Osbourne ?,date,"['ADV', 'ADP', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', 'PER', 'PER', '']"
11,11,DESC,Porque é que objectos mais pesados percorrem uma descida mais rapidamente do que objectos mais leves ?,reason,"['SCONJ', 'ADP', 'NOUN', 'PROPN', 'ADV', 'VERB', 'VERB', 'DET', 'NOUN', 'ADV', 'ADV', 'ADV', 'ADP', 'PROPN', 'ADV', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
12,12,HUM,Quem era o orgulho dos Yankees ?,ind,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'MISC', 'MISC']"
13,13,HUM,Quem matou Gandhi ?,ind,"['PRON', 'VERB', 'PROPN', 'PUNCT']","['', '', 'PER', '']"
14,14,ENTY,Qual é considerado o desastre mais caro que a indústria de seguros teve que enfrentar ?,event,"['ADV', 'AUX', 'VERB', 'DET', 'NOUN', 'ADV', 'ADJ', 'SCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'SCONJ', 'VERB', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
15,15,LOC,"Que estado, em crescimento desordenado, dos Estados Unidos possui mais aeroportos ?",state,"['SCONJ', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'VERB', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'VERB', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', 'LOC', 'LOC', '', '', '', '']"
16,16,DESC,Era sobre quê a única alteração revogada à Constituição dos Estados Unidos ?,desc,"['VERB', 'ADP', 'SCONJ', 'DET', 'ADJ', 'NOUN', 'VERB', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', 'ORG', 'ORG', 'ORG', 'ORG', '']"
17,17,NUM,Quantos judeus foram executados em campos de concentração durante a Segunda Guerra Mundial ?,count,"['PROPN', 'PROPN', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['MISC', '', '', '', '', '', '', '', '', '', 'MISC', 'MISC', 'MISC', '']"
18,18,DESC,Quem são os “Nine Inch Nails” ?,def,"['PRON', 'VERB', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', 'ORG', 'ORG', 'ORG', '', '']"
19,19,DESC,O que é uma bibliografia anotada ?,def,"['X', 'PRON', 'VERB', 'DET', 'NOUN', 'VERB', 'PUNCT']","['', '', '', '', '', '', '']"
20,20,NUM,Em que dia é o Boxing Day ?,date,"['ADP', 'PRON', 'NOUN', 'VERB', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', 'LOC', '']"
