,Unnamed: 0,class,question,sub_class,pos,ner
0,0,DESC,¿Como se desarrollo la servidumbre en y luego dejo Rusia?,manner,"['PUNCT', 'SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'CONJ', 'ADV', 'VERB', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', 'LOC', '']"
1,1,ENTY,¿Que rueda presento el caracter Popeye Doyle?,cremat,"['PUNCT', 'SCONJ', 'VERB', 'ADJ', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'MISC', 'MISC', 'MISC']"
2,2,DESC,¿Como puedo encontrar una lista de famosos 'verdaderos nombres?,manner,"['PUNCT', 'SCONJ', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'SYM', 'ADJ', 'NOUN', 'PUNCT']","['', 'PER', '', '', '', '', '', '', '', '', '', '']"
3,3,ENTY,¿Que ave agarra el foco despues del Año chino del Mono?,animal,"['PUNCT', 'SCONJ', 'NOUN', 'ADV', 'DET', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADJ', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', 'LOC', 'LOC', 'LOC', 'LOC', '']"
4,4,ABBR,Lo que es la forma llena de.¿com?,exp,"['DET', 'PRON', 'AUX', 'DET', 'NOUN', 'ADJ', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '']"
5,5,HUM,¿Que sinvergüenza desdeñable robo el corcho de mi almuerzo?,ind,"['PUNCT', 'SCONJ', 'NOUN', 'ADJ', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '']"
6,6,HUM,Que equipo hizo el beisbol 's San.¿Louis Browns se hace?,gr,"['SCONJ', 'NOUN', 'VERB', 'DET', 'NOUN', 'SYM', 'CONJ', 'PROPN', 'PROPN', 'PRON', 'VERB', 'PUNCT']","['', '', '', '', '', '', '', 'PER', 'PER', '', '', '']"
7,7,HUM,¿Cual es la profesion mas vieja?,title,"['PUNCT', 'PRON', 'AUX', 'DET', 'AUX', 'ADV', 'ADJ', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', '']"
8,8,DESC,¿Cuales son enzimas de higado?,def,"['PUNCT', 'PRON', 'AUX', 'ADJ', 'ADP', 'NOUN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '']"
9,9,HUM,Llame al cazador de generosidad revestido por la cicatriz del Viejo Oeste,ind,"['PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN']","['MISC', '', '', '', '', '', '', '', '', '', 'LOC', 'LOC']"
10,10,NUM,¿Cuando fue nacido Ozzy Osbourne?,date,"['PUNCT', 'SCONJ', 'AUX', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', 'PER', 'PER', '']"
11,11,DESC,¿Por que viajan los objetos mas pesados cuesta abajo mas rapido?,reason,"['PUNCT', 'ADP', 'SCONJ', 'VERB', 'DET', 'NOUN', 'ADV', 'ADJ', 'VERB', 'ADV', 'ADV', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '']"
12,12,HUM,¿Quien era el Orgullo de los Yanquis?,ind,"['PUNCT', 'PRON', 'AUX', 'DET', 'PROPN', 'ADP', 'DET', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']"
13,13,HUM,¿Quien mato Gandhi?,ind,"['PUNCT', 'PRON', 'ADJ', 'PROPN', 'PUNCT']","['MISC', 'MISC', 'MISC', 'MISC', '']"
14,14,ENTY,¿Que es considerado el desastre costliest que la industria de seguros ha afrontado alguna vez?,event,"['PUNCT', 'SCONJ', 'AUX', 'VERB', 'DET', 'NOUN', 'NOUN', 'SCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
