,Unnamed: 0,class,question,sub_class,pos,ner
0,0,DESC,How did serfdom develop in and then leave Russia ?,manner,"['ADV', 'VERB', 'NOUN', 'VERB', 'ADV', 'CCONJ', 'ADV', 'VERB', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', 'GPE', '']"
1,1,ENTY,What films featured the character Popeye Doyle ?,cremat,"['PRON', 'NOUN', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'PERSON', 'PERSON', '']"
2,2,DESC,How can I find a list of celebrities ' real names ?,manner,"['ADV', 'VERB', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PART', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '']"
3,3,ENTY,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,animal,"['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'ADP', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'EVENT', 'EVENT', 'EVENT', 'EVENT', 'EVENT', 'EVENT', '']"
4,4,ABBR,What is the full form of .com ?,exp,"['PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'X', 'PUNCT']","['', '', '', '', '', '', '', '']"
5,5,HUM,What contemptible scoundrel stole the cork from my lunch ?,ind,"['PRON', 'ADJ', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '']"
6,6,HUM,What team did baseball 's St. Louis Browns become ?,gr,"['DET', 'NOUN', 'VERB', 'NOUN', 'PART', 'PROPN', 'PROPN', 'PROPN', 'VERB', 'PUNCT']","['', '', '', '', '', 'GPE', 'GPE', '', '', '']"
7,7,HUM,What is the oldest profession ?,title,"['PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', '', '', '']"
8,8,DESC,What are liver enzymes ?,def,"['PRON', 'VERB', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', '', '']"
9,9,HUM,Name the scar-faced bounty hunter of The Old West .,ind,"['VERB', 'DET', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', 'PERSON', 'PERSON', 'PERSON', '']"
10,10,NUM,When was Ozzy Osbourne born ?,date,"['ADV', 'VERB', 'PROPN', 'PROPN', 'VERB', 'PUNCT']","['', '', 'PERSON', 'PERSON', '', '']"
11,11,DESC,Why do heavier objects travel downhill faster ?,reason,"['ADV', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'ADV', 'PUNCT']","['', '', '', '', '', '', '', '']"
12,12,HUM,Who was The Pride of the Yankees ?,ind,"['PRON', 'VERB', 'DET', 'PROPN', 'ADP', 'DET', 'PROPN', 'PUNCT']","['', '', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', '']"
13,13,HUM,Who killed Gandhi ?,ind,"['PRON', 'VERB', 'PROPN', 'PUNCT']","['', '', 'PERSON', '']"
14,14,ENTY,What is considered the costliest disaster the insurance industry has ever faced ?,event,"['PRON', 'VERB', 'VERB', 'DET', 'ADJ', 'NOUN', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '']"
15,15,LOC,What sprawling U.S. state boasts the most airports ?,state,"['PRON', 'VERB', 'PROPN', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","['', '', 'GPE', '', '', '', '', '', '']"
16,16,DESC,What did the only repealed amendment to the U.S. Constitution deal with ?,desc,"['PRON', 'VERB', 'DET', 'ADJ', 'VERB', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'PUNCT']","['', '', '', '', '', '', '', 'LAW', 'LAW', 'LAW', '', '', '']"
17,17,NUM,How many Jews were executed in concentration camps during WWII ?,count,"['ADV', 'ADJ', 'PROPN', 'VERB', 'VERB', 'ADP', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', 'NORP', '', '', '', '', '', '', 'EVENT', '']"
18,18,DESC,What is `` Nine Inch Nails '' ?,def,"['PRON', 'VERB', 'PUNCT', 'PUNCT', 'NUM', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
19,19,DESC,What is an annotated bibliography ?,def,"['PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', '', '', '']"
20,20,NUM,What is the date of Boxing Day ?,date,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'DATE', 'DATE', '']"
21,21,ENTY,What articles of clothing are tokens in Monopoly ?,other,"['PRON', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'GPE', '']"
22,22,HUM,Name 11 famous martyrs .,ind,"['NOUN', 'NUM', 'ADJ', 'NOUN', 'PUNCT']","['', 'CARDINAL', '', '', '']"
