,class,question,sub_class
0,DESC,Como é que a servidão se desenvolveu e mais tarde terminou na Rússia ?,manner
1,ENTY,Em que filmes entrou a personagem Popeye Doyle ?,cremat
2,DESC,Como posso encontrar uma lista dos verdadeiros nomes das celebridades ?,manner
3,ENTY,Que pássaro assume um papel preponderante depois do Ano Chinês do Macaco ?,animal
4,ABBR,Qual é a forma completa de .com ?,exp
5,HUM,Que “contemptible scoundrel stole the cork from my lunch” ?,ind
6,HUM,Em que equipa é que a St. Louis Browns basebol se tornou ?,gr
7,HUM,Qual é a profissão mais antiga ?,title
8,DESC,Quais são as enzimas do fígado ?,def
9,HUM,Diga o nome do caçador de recompensas do velho oeste que tinha uma cicatriz na cara.,ind
10,NUM,Quando é que nasceu Ozzy Osbourne ?,date
11,DESC,Porque é que objectos mais pesados percorrem uma descida mais rapidamente do que objectos mais leves ?,reason
12,HUM,Quem era o orgulho dos Yankees ?,ind
13,HUM,Quem matou Gandhi ?,ind
14,ENTY,Qual é considerado o desastre mais caro que a indústria de seguros teve que enfrentar ?,event
15,LOC,"Que estado, em crescimento desordenado, dos Estados Unidos possui mais aeroportos ?",state
16,DESC,Era sobre quê a única alteração revogada à Constituição dos Estados Unidos ?,desc
17,NUM,Quantos judeus foram executados em campos de concentração durante a Segunda Guerra Mundial ?,count
18,DESC,Quem são os “Nine Inch Nails” ?,def
19,DESC,O que é uma bibliografia anotada ?,def
20,NUM,Em que dia é o Boxing Day ?,date
21,ENTY,Que peças de roupa são fichas do Monopólio ?,other
22,HUM,Diga o nome de 11. mártires famosos.,ind
23,DESC,Qual é o lema Olímpico ?,desc
24,DESC,Qual é a origem do nome Scarlett ?,desc
25,ENTY,Qual é a segunda vogal mais usada em Inglês ?,letter
26,HUM,Quem foi o inventor do silly putty ?,ind
27,LOC,Qual é a maior cascata dos Estados Unidos ?,other
28,ENTY,Diga o nome de um campo de golf em Myrtle Beach.,other
29,LOC,Quais são os dois estados onde se situa a baía de Chesapeake ?,state
30,ABBR,O que significa a abreviatuta SIDA ?,exp
31,ENTY,O que é que um espermólogo colecciona ?,other
32,NUM,Quantos pontos são necessários para fazer uma pontução perfeita de cinco pinos no bowling ?,count
33,HUM,"Qual é a empresa, que manufactura hardware para video jogos, que vende o “super system” ?",gr
34,NUM,Quantas cartas da Caixa da Comunidade existem no Monopólio ?,count
35,DESC,Em que é que acreditam os Mormons ?,desc
36,NUM,Quando é que o homem de Neandertal viveu ?,date
37,ENTY,Em que religião Isis era a deusa da natureza ?,religion
38,LOC,Onde decorrem as aventuras da Swiss Family Robinson ?,other
39,ENTY,"Qual é o parente do guaxinim que, por vezes, é também conhecido como o gato-urso ?",animal
40,DESC,Como posso registar o meu website no Yahoo gratuitamente ?,manner
41,ENTY,O que é que o poupado Coronel Edwwin L. Drake foi o primeiro a furar ?,other
42,NUM,Quantas pessoas no mundo falam francês ?,count
43,NUM,Quantas polegadas por seis pés mede a Vénus de Milo ?,count
44,DESC,Como é que se encontram ou escolhem testemunhas para uma execução ?,manner
45,HUM,"Que famoso cowboy em 1920. cavalgou Tony, the Wonder Horse ?",ind
46,ENTY,Que cocktail inspirou John Doxat a escrever o livro Stirred-Not Shaken ?,food
47,HUM,Que ISP existe nas Caraíbas ?,gr
48,DESC,Como se convida um completo estranho para sair ?,manner
49,ENTY,Com que arma era ábil a personagem mitológica Apolo ?,other
50,LOC,A que país pertencem as ilhas Galápagos ?,country
51,DESC,O que é a etologia ?,def
52,HUM,Quem era o profeta do povo Muçulmano ?,ind
53,DESC,De onde vem o termo “86ED” ?,desc
54,HUM,Quem é o arqui-inimigo do Snoopy ?,ind
55,DESC,Qual é a natureza da aprendizagem ?,def
56,ENTY,Qual é a única cor que Johnny Cash usava em palco ?,color
57,ENTY,Qual é o termo para designar uma raposa jovem ?,termeq
58,LOC,Que estado dos E.U.A viveu sob seis bandeiras ?,state
59,DESC,O que é o problema de Kashmir ?,def
60,LOC,Onde se encontra o Loop ?,other
61,DESC,O que significa “definção extensa” e como se pode escrever uma redacção sobre isso ?,def
62,LOC,De que país Tirana é a capital ?,country
63,DESC,O que é titânio ?,def
64,HUM,Herb e Tootsie vivem ao lado da casa de quem ?,ind
65,LOC,Que cidade tem a mais antiga relação de geminação com a cidade de Los Angeles ?,city
66,DESC,O que é uma caldeira ?,def
67,DESC,Porque é que as pessoas ficam com calos ?,reason
68,LOC,Quais são os nomes das atracções turísticas de Reims ?,other
69,DESC,Por que motivo são famosos Cushman e Wakefield ?,reason
70,LOC,Em que mar desagua o Danúbio ?,other
71,HUM,Quem é o fundador da cientologia ?,ind
72,ENTY,Em que é que a mosca doméstica de seis pernas se torna quando entra numa casa ?,other
73,DESC,Qual é a história do skate ?,desc
74,HUM,Quem entrou em Singing in the Rain e em The Singing Nun ?,ind
75,DESC,Como posso fazer tijolos de papel reciclado ?,manner
76,HUM,Que pintor do século XIX morreu nas ilhas Marquesas ?,ind
77,ENTY,O corpus callosum encontra-se em que parte do corpo ?,body
78,DESC,Como é que se faz log on numa home page na sede do comando europeu dos E.U.A. ?,manner
79,LOC,Que país os nazis ocuparam em primeiro lugar ?,country
80,ENTY,Qual é o recurso mais valioso do Nebrasca ?,other
81,NUM,Quantas espécies do grande tubarão branco existem ?,count
82,DESC,Qual é a origem dos piolhos ?,desc
83,LOC,Qual é a abreviatura do nome do estado do Mississippi ?,state
84,ENTY,Qual foi o primeiro pássaro doméstico ?,animal
85,NUM,Quantas vilosidades se podem encontrar no intestino delgado ?,count
86,LOC,Em que país é que o Rei Wenceslas reinou ?,country
87,ENTY,Como se chama a fobia a sombras ?,dismed
88,HUM,Quem foram os cinco irmãos Marx ?,ind
89,NUM,Em que ano é que a Nova Zelândia fui excluída da aliança ANZUS ?,date
90,NUM,Quando é que a CNN começou a transmitir ?,date
91,DESC,Porque é que o corpo treme com as temperaturas baixas ?,reason
92,DESC,O que é o mercado do urso e o mercado do touro ?,def
93,ENTY,"Em que livro de J.R.R. Tolkie, Bilbo Baggins é a personagem central ?",cremat
94,DESC,O que é o ponto de condensação ?,def
