,class,question,sub_class
0,DESC,¿Como se desarrollo la servidumbre en y luego dejo Rusia?,manner
1,ENTY,¿Que rueda presento el caracter Popeye Doyle?,cremat
2,DESC,¿Como puedo encontrar una lista de famosos 'verdaderos nombres?,manner
3,ENTY,¿Que ave agarra el foco despues del Año chino del Mono?,animal
4,ABBR,Lo que es la forma llena de.¿com?,exp
5,HUM,¿Que sinvergüenza desdeñable robo el corcho de mi almuerzo?,ind
6,HUM,Que equipo hizo el beisbol 's San.¿Louis Browns se hace?,gr
7,HUM,¿Cual es la profesion mas vieja?,title
8,DESC,¿Cuales son enzimas de higado?,def
9,HUM,Llame al cazador de generosidad revestido por la cicatriz del Viejo Oeste,ind
10,NUM,¿Cuando fue nacido Ozzy Osbourne?,date
11,DESC,¿Por que viajan los objetos mas pesados cuesta abajo mas rapido?,reason
12,HUM,¿Quien era el Orgullo de los Yanquis?,ind
13,HUM,¿Quien mato Gandhi?,ind
14,ENTY,¿Que es considerado el desastre costliest que la industria de seguros ha afrontado alguna vez?,event
15,LOC,Que extension U.S.¿declare alardea de la mayor parte de aeropuertos?,state
16,DESC,HTTP Status 500: Internal Server Error.S.¿Trato de constitucion con?,desc
17,NUM,¿Cuantos Judios fueron ejecutados en campos de concentracion durante WWII?,count
18,DESC,¿Cuales son Uñas de Nueve pulgadas?,def
19,DESC,¿Cual es una bibliografia anotada?,def
20,NUM,¿Cual es la fecha de Dia de San Esteban?,date
21,ENTY,¿Que prendas de vestir son señales en el Monopolio?,other
22,HUM,El nombre 11 martires famosos,ind
23,DESC,¿Que 's el lema Olimpico?,desc
24,DESC,¿Cual es el origen del nombre 'Scarlett'?,desc
25,ENTY,¿Que 's la segunda vocal mas usada en ingles?,letter
26,HUM,¿Quien era el inventor de la masilla tonta?,ind
27,LOC,¿Cual es la cascada mas alta en los Estados Unidos?,other
28,ENTY,Llame un campo de golf en la Playa de Mirto,other
29,LOC,¿Que dos estados encierran la Bahia Chesapeake?,state
30,ABBR,¿Que significa el SIDA de abreviatura?,exp
31,ENTY,¿Que colecciona un spermologer?,other
32,NUM,¿Cuantos puntos arreglan fivepin perfecto que lanza el resultado?,count
33,HUM,¿Que compañia que fabrica el hardware de videojuego vende el sistema s&250;per?,gr
34,NUM,¿Cuantos naipes de Fondo para Beneficencia Social estan alli en el Monopolio?,count
35,DESC,¿Que creen los mormones?,desc
36,NUM,¿Cuando vivio el hombre neanderthal?,date
37,ENTY,¿En que la religion era Isis la diosa de naturaleza?,religion
38,LOC,¿Donde hacen las aventuras de la Familia suiza Robinson ocurre?,other
39,ENTY,¿Que pariente del mapache es a veces conocido como el oso del gato?,animal
40,DESC,¿Como puedo registrar mi sitio Web en Yahoo gratis?,manner
41,ENTY,Lo que era Coronel en efectivo y consciente Edwin L.¿Pato el primer para perforar?,other
42,NUM,¿Cuanta gente en el mundo dicehabla el frances?,count
43,NUM,¿Cuantas pulgadas mas de seis pies es Venus de Milo?,count
44,DESC,¿Como encuentran ellos o eligen a testigos de una ejecucion?,manner
45,HUM,¿Que estrella de vaquero de los años 1920 monto a Tony el Caballo de Maravilla?,ind
46,ENTY,¿Que coctel inspiro a John Doxat a escribir el libro Movido - No Sacudido?,food
47,HUM,¿Que ISPs existen en el Caribe?,gr
48,DESC,¿Como invita usted a salir a un forastero total en una fecha?,manner
49,ENTY,¿Con que el arma es el caracter mitologico Apolo el mas muy competente?,other
50,LOC,¿A que pais las Islas de Galapagos pertenecen?,country
51,DESC,¿Cual es la etologia?,def
52,HUM,¿Quien era el profeta de la gente Musulmana?,ind
53,DESC,¿Donde hizo el termino 86ed vienen de?,desc
54,HUM,¿Quien es Entrometido 's el enemigo mortal?,ind
55,DESC,¿Cual es la naturaleza de aprendizaje?,def
56,ENTY,¿Que 's el &250;nico color Johnny Cash lleva puesto en la etapaescena?,color
57,ENTY,¿Que 's el termino para un zorro joven?,termeq
58,LOC,Que U.S.¿el estado vivio bajo seis banderas?,state
59,DESC,¿Cual es la cuestion de Cachemira?,def
60,LOC,¿Donde esta el Lazo?,other
61,DESC,¿Que hace la definicion ampliada media y como escribiria uno un papel en ello?,def
62,LOC,¿Que pais 's capital es Tirana?,country
63,DESC,¿Cual es el titanio?,def
64,HUM,¿De quien viven al lado Hierba y Muchacha?,ind
65,LOC,¿Que ciudad tiene la relacion mas vieja como un sister&209;&8364;city con Los &193;ngeles?,city
66,DESC,¿Cual es una caldera?,def
67,DESC,¿Por que consigue la gente callos?,reason
68,LOC,¿Cuales son los nombres de las atracciones turisticas en Reims?,other
69,DESC,¿Cual es Cushman y Wakefield conocido para?,reason
70,LOC,¿En que cuerpo del agua fluye el Rio de Danubio?,other
71,HUM,¿Quien es el fundador de Scientology?,ind
72,ENTY,¿Que hace Musca seis pies domestica se hacen cuando esto entra en una casa?,other
73,DESC,¿Cual es la historia de monopatinaje?,desc
